HealthTopic,Population,Indicator,Unit,Time,RegionCode,RegionName,NumValue,TxtValue
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2005,AT,Austria,6,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2005,BE,Belgium,0,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2005,BG,Bulgaria,18,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2005,CY,Cyprus,3,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2005,CZ,Czech Republic,155,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2005,DE,Germany,8,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2005,DK,Denmark,0,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2005,EE,Estonia,3,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2005,EL,Greece,479,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2005,ES,Spain,4,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2005,FI,Finland,5,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2005,FR,France,42,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2005,HR,Croatia,52,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2005,HU,Hungary,87,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2005,IE,Ireland,3,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2005,IS,Iceland,0,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2005,IT,Italy,68,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2005,LU,Luxembourg,0,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2005,LV,Latvia,0,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2005,MT,Malta,2,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2005,NL,Netherlands,9,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2005,NO,Norway,8,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2005,PL,Poland,35,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2005,PT,Portugal,0,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2005,RO,Romania,2,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2005,SE,Sweden,4,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2005,SI,Slovenia,15,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2005,SK,Slovakia,0,
