HealthTopic,Population,Indicator,Unit,Time,RegionCode,RegionName,NumValue,TxtValue
Antimicrobial resistance,Escherichia coli|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2000,AT,Austria,0,
Antimicrobial resistance,Escherichia coli|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2000,BE,Belgium,0,
Antimicrobial resistance,Escherichia coli|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2000,DE,Germany,0,
Antimicrobial resistance,Escherichia coli|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2000,DK,Denmark,0,
Antimicrobial resistance,Escherichia coli|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2000,EE,Estonia,0,
Antimicrobial resistance,Escherichia coli|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2000,EL,Greece,20,
Antimicrobial resistance,Escherichia coli|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2000,ES,Spain,0,
Antimicrobial resistance,Escherichia coli|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2000,FI,Finland,0,
Antimicrobial resistance,Escherichia coli|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2000,IE,Ireland,0,
Antimicrobial resistance,Escherichia coli|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2000,IS,Iceland,0,
Antimicrobial resistance,Escherichia coli|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2000,IT,Italy,0,
Antimicrobial resistance,Escherichia coli|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2000,LU,Luxembourg,0,
Antimicrobial resistance,Escherichia coli|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2000,NL,Netherlands,2,
Antimicrobial resistance,Escherichia coli|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2000,NO,Norway,27,
Antimicrobial resistance,Escherichia coli|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2000,PT,Portugal,0,
Antimicrobial resistance,Escherichia coli|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2000,SE,Sweden,0,
Antimicrobial resistance,Escherichia coli|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2000,UK,United Kingdom,0,
Antimicrobial resistance,Escherichia coli|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2001,AT,Austria,1,
Antimicrobial resistance,Escherichia coli|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2001,BE,Belgium,5,
Antimicrobial resistance,Escherichia coli|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2001,BG,Bulgaria,6,
Antimicrobial resistance,Escherichia coli|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2001,CZ,Czech Republic,27,
