"Study ID",Sample,"Lane Name",Cycles,Reads,Bases,"Map Type",Reference,"Reference Size",Mapper,"Mapstats ID","Mapped %","Paired %","Mean Insert Size","Depth of Coverage","Depth of Coverage sd","Adapter %","Transposon %","Genome Covered","Duplication Rate","Error Rate","NPG QC","Manual QC","No. Het SNPs","% Het SNPs (Total Genome)","% Het SNPs (Genome Covered)","% Het SNPs (Total No. of SNPs)","QC Pipeline","Mapping Pipeline","Archiving Pipeline","SNP Calling Pipeline","RNASeq Pipeline","Assembly Pipeline","Annotation Pipeline"
5510,DASSSIM27647386,28099_1#1,151,1898962,286743262,QC,Escherichia_coli_str_K-12_substr_MG1655_v3,4641652,bwa,2430846,81.8,81.1,489.8,50.50,19.86,0.1,NA,91.19,0.0075,0.015,pass,pending,100,0.00,0.00,0.33,Done,Done,Done,Done,-,Done,Done
5510,DASSSIM27647484,28099_1#2,151,2260496,341334896,QC,Escherichia_coli_str_K-12_substr_MG1655_v3,4641652,bwa,2431170,83.2,82.7,477.5,61.17,23.91,0.1,NA,92.71,0.0015,0.009,pass,pending,158,0.00,0.00,1.30,Done,Done,Done,Done,-,Done,Done
5510,DASSSIM27647387,28099_1#6,151,2016686,304519586,QC,Escherichia_coli_str_K-12_substr_MG1655_v3,4641652,bwa,2430930,74.4,73.8,481.9,48.78,19.47,0.1,NA,95.53,0.0013,0.019,pass,pending,17058,0.37,0.39,50.14,Done,Done,Done,Done,-,Done,Done
5510,DASSSIM27647485,28099_1#7,151,1942014,293244114,QC,Escherichia_coli_str_K-12_substr_MG1655_v3,4641652,bwa,2431173,84.3,83.5,493.1,53.24,20.30,0.1,NA,93.37,0.0076,0.014,pass,pending,154,0.00,0.00,0.53,Done,Done,Done,Done,-,Done,Done
5510,DASSSIM27647388,28099_1#10,151,1644840,248370840,QC,Escherichia_coli_str_K-12_substr_MG1655_v3,4641652,bwa,2430849,82.4,81.6,494.6,44.06,16.88,0.1,NA,93.18,0.0060,0.015,pass,pending,182,0.00,0.00,0.65,Done,Done,Done,Done,-,Done,Done
5510,DASSSIM27647486,28099_1#11,151,2313158,349286858,QC,Escherichia_coli_str_K-12_substr_MG1655_v3,4641652,bwa,2431446,79.8,79.2,463.9,60.03,23.91,0.1,NA,91.26,0.0016,0.015,pass,pending,96,0.00,0.00,0.34,Done,Done,Done,Done,-,Done,Done
5510,DASSSIM27647389,28099_1#14,151,2047388,309155588,QC,Escherichia_coli_str_K-12_substr_MG1655_v3,4641652,bwa,2430852,73.0,72.1,476.7,48.57,22.14,0.1,NA,90.57,0.0013,0.023,pass,pending,168,0.00,0.00,0.49,Done,Done,Done,Done,-,Done,Done
5510,DASSSIM27647390,28099_1#18,151,2116522,319594822,QC,Escherichia_coli_str_K-12_substr_MG1655_v3,4641652,bwa,2430933,82.7,82.2,487.3,56.94,21.39,0.1,NA,93.72,0.0013,0.006,pass,pending,233,0.01,0.01,3.93,Done,Done,Done,Done,-,Done,Done
5510,DASSSIM27647488,28099_1#19,151,2427602,366567902,QC,Escherichia_coli_str_K-12_substr_MG1655_v3,4641652,bwa,2431176,63.7,63.0,469.6,50.25,26.52,0.1,NA,86.28,0.0015,0.025,pass,pending,108,0.00,0.00,0.31,Done,Done,Done,Done,-,Done,Done
5510,DASSSIM27647391,28099_1#22,151,1995282,301287582,QC,Escherichia_coli_str_K-12_substr_MG1655_v3,4641652,bwa,2430855,63.3,62.6,467.9,41.07,21.99,0.1,NA,86.06,0.0012,0.025,pass,pending,83,0.00,0.00,0.27,Done,Done,Done,Done,-,Done,Done
5510,DASSSIM27647489,28099_1#23,151,2024620,305717620,QC,Escherichia_coli_str_K-12_substr_MG1655_v3,4641652,bwa,2431221,79.8,79.3,472.1,52.53,20.16,0.1,NA,93.77,0.0014,0.006,pass,pending,233,0.01,0.01,4.06,Done,Done,Done,Done,-,Done,Done
5510,DASSSIM27647392,28099_1#26,151,2334294,352478394,QC,Escherichia_coli_str_K-12_substr_MG1655_v3,4641652,bwa,2430858,81.8,81.2,451.2,62.07,24.27,0.1,NA,93.19,0.0015,0.014,pass,pending,106,0.00,0.00,0.40,Done,Done,Done,Done,-,Done,Done
5510,DASSSIM27647490,28099_1#27,151,2285380,345092380,QC,Escherichia_coli_str_K-12_substr_MG1655_v3,4641652,bwa,2431320,72.7,71.9,454,54.02,30.93,0.1,NA,84.84,0.0017,0.025,pass,pending,80,0.00,0.00,0.23,Done,Done,Done,Done,-,Done,Done
5510,DASSSIM27647393,28099_1#30,151,1905160,287679160,QC,Escherichia_coli_str_K-12_substr_MG1655_v3,4641652,bwa,2430861,85.0,84.3,473.6,52.68,20.58,0.1,NA,93.28,0.0062,0.014,pass,pending,138,0.00,0.00,0.48,Done,Done,Done,Done,-,Done,Done
5510,DASSSIM27647491,28099_1#31,151,2552240,385388240,QC,Escherichia_coli_str_K-12_substr_MG1655_v3,4641652,bwa,2431224,79.5,78.9,467.7,66.03,42.54,0.1,NA,91.04,0.0019,0.006,pass,pending,111,0.00,0.00,1.94,Done,Done,Done,Done,-,Done,Done
