"","Aac3_IIa","Aac3_IId","Aac6Ib_cr","AadA16","AadA1","AadA1_pm","AadA17","AadA2","AadA24","AadA5","AmpC1","AmpC2","AMPH","Aph3","Arr2","Arr3","CARB_2","Cat_pC221","CatA1","CatA2","CatB3","CatB4","CmlA1","CmlA5","CMY_42","CMY_94","CTX_M_1","CTX_M_15","CTX_M_3","CTX_M_55","CTX_M_14","CTX_M_16","CTX_M_27","CTX_M_65","CTX_M_9","DfrA12","DfrA1","DfrA15","DfrA16","DfrA27","DfrA14","DfrA30","DfrA5","DfrA17","DfrA8","ErmB","FloR","FosA","LAP_2","MefB","MphA","MrdA","NDM_5","OXA_1","OXA_10","QepA","Qnr_S1","QnrS2","QnrB1","QnrB19","QnrB6","RmtB","Sat_2A","SHV_12","StrA","StrB","SulI","SulII","SulIII","TEM_135","TEM_33","TEM_90","TetA","TetB","TetD","TEM_1","GyrA","GyrB","ParC","ParE"
"Aac3_IIa",NA,3.79968932745666e-14,6.08550763603609e-31,1,0.000777309643902003,0.169133192389006,0.0533696712676984,8.62393922189655e-05,1,9.06306958128824e-13,0.392381882659476,1,1,0.524666878357851,0.169133192389006,1,1,1,0.0550734654869191,0.309958075034937,0.0907023672405436,7.42627438019708e-40,0.0081262407254146,0.169133192389006,1,0.00290824891321544,1,3.04509274485713e-14,0.141533882988781,1,0.0907023672405436,0.608048929482644,2.32210359565818e-06,1,0.0864976008911748,0.00137227043912732,6.87834166926953e-06,0.169133192389006,1,1,8.50274867421074e-05,1,0.309958075034937,6.23425964307555e-12,0.282846058936813,0.368191401682726,0.000647019704720941,0.00778070340570604,0.169133192389006,1,5.64455427045323e-08,1,1,2.48397252085365e-29,0.169133192389006,0.0126153608930192,0.000259090501921556,1,1,1,1,1,2.0505702269903e-06,0.0127936194350081,0.00345065131416887,0.40166860718366,1.63099789172967e-07,0.172209004861837,0.0047751330927702,1,1,1,0.00863092901148538,0.0359845856956739,0.608048929482644,0.00803574011410958,2.36758043063619e-06,1,7.878038906842e-13,6.2111602369979e-07
"Aac3_IId",3.79968932745666e-14,NA,1.82336570672604e-08,0.501818540151217,0.138419759690351,1,0.874046408763931,0.143237152831588,1,1.71701430337178e-06,0.479450395736803,1,1,1,1,1,1,1,0.694951291088401,0.501818540151217,2.0689511690173e-08,0.000447078033653354,0.000567286781770679,1,0.293868921775899,8.12395004114414e-21,1,3.57826586527234e-15,0.0134401268738537,1,0.171949508149375,0.000169740739228659,7.426554865486e-10,1,0.167980541879543,0.019956743970967,0.783670220443812,1,1,0.501818540151217,2.72150393580453e-06,0.293868921775899,1,1.82373537292933e-08,0.828337031951289,0.0639971452917592,0.186803538282806,0.000942950357264071,1,1,2.93225832430894e-10,1,0.293868921775899,1.84740658123308e-06,1,0.238838369769963,3.04287417668319e-08,1,0.0859193034005806,1,0.501818540151217,1,0.475068343417674,0.00018590563503018,0.00120036790550536,0.170485933163286,0.00109198633805459,0.036877470005517,0.000591995417892411,1,1,0.0859193034005806,7.61824727053023e-07,9.4753876471748e-09,1,4.06955996051476e-29,2.74060154027722e-12,1,6.09844740403037e-06,3.48010940271481e-07
"Aac6Ib_cr",6.08550763603609e-31,1.82336570672604e-08,NA,0.131741140215717,1.4137247114101e-13,1,0.000433796923774103,1.03517561277079e-12,0.536209553158706,2.06534124135154e-42,0.000309865748421111,1,1,0.624140551279179,1,0.363636363636364,1,1,1,0.536209553158706,2.00797516908369e-08,1.77125163727885e-88,3.25468592035587e-05,1,0.363636363636364,9.14971355842709e-20,0.536209553158706,2.30022984421814e-37,0.00296650648982307,1,0.00812175337473911,0.0518268445795287,1.63498484539661e-13,1,0.00823592203121063,4.18343624166817e-11,2.35408463896417e-12,0.363636363636364,1,0.131741140215717,1.79281504336945e-16,1,0.536209553158706,1.13007608872528e-43,0.533998861720286,0.0297281777269439,0.0258199828843673,5.7458134543489e-05,1,1,1.85034825054177e-18,1,0.363636363636364,1.15803471450386e-103,1,1.46842248697764e-06,1.07646004233505e-12,1,0.536209553158706,0.536209553158706,0.131741140215717,1,2.41682846535869e-12,7.72436429286114e-06,4.53276887829837e-07,0.192639578637452,6.05420097000285e-13,0.0211123035678175,1.88368568958285e-05,1,1,0.536209553158706,7.01208009919456e-06,2.80632026387948e-10,0.0518268445795287,0.00439495265801123,2.05236245618703e-21,0.536209553158706,9.83116315298078e-41,1.81857866011319e-37
"AadA16",1,0.501818540151217,0.131741140215717,NA,1,1,1,1,1,0.223743146880712,0.421112982405848,1,1,1,1,0.00422832980972516,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8.95832586806179e-06,1,1,1,1,1,1,1,1,1,1,0.0987745010212494,1,1,0.521786648511124,1,1,1,1,1,1,8.95832586806179e-06,1,1,1,0.281542265381448,0.181406098828249,0.540975382520512,0.1504819579317,1,1,1,1,0.165979861683448,1,1,1,1,1,0.532823305980579,0.500573332855556
"AadA1",0.000777309643902003,0.138419759690351,1.4137247114101e-13,1,NA,1,2.70429960355837e-06,1.911061756118e-11,1,2.64677644563536e-24,0.0336132549155946,1,1,1,1,1,0.209302325581395,0.209302325581395,0.883684893226673,1,0.218974785965152,7.5787953480296e-12,7.72624774698006e-20,1,1,0.000363764891386414,0.375147812376823,0.070432752240213,2.52154571636558e-07,1,8.50360840292242e-07,0.353917035791214,4.08817895702606e-06,0.209302325581395,3.56700912010903e-05,1.89251692480288e-05,1.5110747921166e-43,0.209302325581395,0.209302325581395,1,0.00895647440314202,1,0.0434568387859676,8.12074538282271e-26,0.622833259459221,0.214772581328734,0.351636968725574,3.20579444966635e-17,1,0.209302325581395,2.2916168173996e-15,1,1,3.70342035601111e-08,1,0.000218198556411907,0.11666493052779,0.209302325581395,1,1,1,0.209302325581395,2.69573394914215e-41,1,0.15557056161934,0.0845570287248078,3.26261089812662e-09,1.76479317434481e-05,1.27771690311533e-20,0.209302325581395,1,1,0.0111594548790331,0.733292338949663,0.00539504043699654,0.0365508538850557,8.57620424525967e-06,0.0434568387859676,5.56133165549731e-25,1.90706231083755e-10
"AadA1_pm",0.169133192389006,1,1,1,1,NA,1,0.219873150105709,1,0.47357293868922,1,1,1,1,0.00211416490486258,1,1,1,1,0.00422832980972516,1,0.306553911205074,1,0.00211416490486258,1,1,1,1,1,1,1,1,1,1,1,0.186046511627907,1,1,1,1,0.217758985200845,1,1,0.45877378435518,1,1,1,1,0.00211416490486258,1,1,1,1,0.393234672304439,0.00211416490486258,0.0993657505285418,0.120507399577167,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.408033826638477,0.446088794926001,1,1,1,1,1,0.471458773784355
"AadA17",0.0533696712676984,0.874046408763931,0.000433796923774103,1,2.70429960355837e-06,1,NA,2.34069261483531e-41,1,2.99831662580838e-12,8.66190096950606e-06,1,1,1,1,1,1,1,1.42562726914081e-11,0.211756906869244,0.238502291481754,0.00257152018594197,0.231987420372513,1,1,0.0456677618543337,1,3.94714957574854e-05,0.384028879380228,1,0.707300498905573,1,1.23946229160231e-14,1,0.236665582371582,9.71427872484536e-42,0.0282847209498784,1,1,1,0.115674445017938,1,1,6.10751725080454e-13,1,0.00131010427083598,1,0.347657768237879,1,1,3.96257106203407e-07,1,1,0.00029544267538348,1,2.85883095837237e-37,0.00121774238987114,1,1,1,1,1,0.0131436789577173,0.099783011512981,0.420063289955161,1,1.91521582028842e-11,1,0.232170709977894,1,1,1,9.66848264375311e-05,5.7107880649163e-07,0.179404268798761,1,8.41071089673403e-06,1,1.60037753461339e-05,2.97701157355279e-10
"AadA2",8.62393922189655e-05,0.143237152831588,1.03517561277079e-12,1,1.911061756118e-11,0.219873150105709,2.34069261483531e-41,NA,1,2.65851210247716e-25,0.363077356373537,1,1,0.580519598245684,0.219873150105708,1,0.219873150105708,0.219873150105708,1.16654793291733e-05,0.0479807933493389,0.137416133886843,6.60841194608942e-10,2.67737429523394e-21,0.219873150105708,1,0.000208021353356334,1,7.37851612072137e-09,4.60175974562334e-07,1,1.11182229560332e-07,0.35612262966328,1.27584561278231e-06,0.219873150105708,0.214504974899189,1.14411361324639e-79,0.0669856606276383,1,0.219873150105708,1,0.0102153566542926,1,1,7.28312356941079e-27,0.229431019964572,0.0277794489887746,0.346862409561434,2.11920900929513e-18,0.219873150105708,0.219873150105708,0.189387103596276,1,1,9.17237650367736e-13,0.219873150105708,1.36306644146067e-27,6.63315527088221e-05,0.219873150105708,1,1,1,0.219873150105708,0.0403010414471564,0.0250286774605775,0.0640702028049231,0.131063570445479,2.97427901857369e-08,2.59890927738144e-07,6.7205712883744e-20,0.219873150105708,1,1,0.000655784043098019,0.0137842416982538,0.182476652373363,0.140517465733603,0.697610500178582,0.391765506862077,0.00561178251413929,0.436425358965586
"AadA24",1,1,0.536209553158706,1,1,1,1,1,NA,0.223743146880712,1,1,1,1,1,1,1,1,0.0327426810477658,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0248593542838714,1,1,1,0.388459884616763,1,1,0.209947325043896,0.107025119145733,1,1,1,1,1,0.5312466406278,1,1,0.154127996560003,1,1,1,1,1,1,1,1,0.0210162324864729,1,0.281542265381448,1,0.12566739527717,1,1,1,1,1,0.515892070089942,0.504765829361808,1,1,1,1,0.532823305980579,0.221745440212133
"AadA5",9.06306958128824e-13,1.71701430337178e-06,2.06534124135154e-42,0.223743146880712,2.64677644563536e-24,0.47357293868922,2.99831662580838e-12,2.65851210247716e-25,0.223743146880712,NA,0.747497772346588,1,1,1,0.473572938689218,0.473572938689218,0.473572938689218,0.473572938689218,0.00405846743555994,0.223743146880711,0.000289445221174933,1.3364177909448e-35,1.08898130545915e-05,0.473572938689218,1,4.51996233720079e-12,0.223743146880711,0.0310801926303981,0.000506160825646629,0.473572938689218,0.0805871970361408,0.0158405660052974,1,1,0.000123367024045225,6.4142475923257e-24,1.81332207277597e-21,1,0.473572938689218,0.223743146880711,7.67592357882077e-14,1,0.223743146880711,1.92282127547524e-124,0.547996130058108,0.318856689538812,0.21971412203541,2.09043493352864e-05,0.473572938689218,1,1.00417223811588e-40,1,1,2.16540654263957e-30,0.473572938689218,4.50071873714868e-10,1.94024366303101e-17,0.473572938689218,0.223743146880711,0.223743146880711,0.223743146880711,1,1.27968965808926e-20,0.0140831013063219,0.00301718709722188,0.00740701657710076,1.09331811742096e-30,0.000453001296275694,5.63330045797741e-06,1,0.473572938689218,0.223743146880711,0.30407492576996,0.00166288726809109,0.263910845978076,0.108367191010221,4.23674414215157e-26,1,1.04075941937163e-30,1.59417858873806e-10
