"","Lane.Name","Study.ID","Sample","study","N50","Xcontigs","Totallength","Source","Country"
"1","26141_1#134",5341,"DASSIM7486811","DASSIM_1",90677,159,4963931,"Stool","Malawi"
"2","26141_1#135",5341,"DASSIM7486812","DASSIM_1",91797,159,4936669,"Stool","Malawi"
"3","26141_1#136",5341,"DASSIM7486813","DASSIM_1",90587,157,4958354,"Stool","Malawi"
"4","26141_1#137",5341,"DASSIM7486814","DASSIM_1",214462,111,5247077,"Stool","Malawi"
"5","26141_1#138",5341,"DASSIM7486815","DASSIM_1",132088,108,4684908,"Stool","Malawi"
"6","26141_1#139",5341,"DASSIM7486816","DASSIM_1",207354,83,5020135,"Stool","Malawi"
"7","26141_1#140",5341,"DASSIM7486817","DASSIM_1",106469,134,4828467,"Stool","Malawi"
"8","26141_1#141",5341,"DASSIM7486818","DASSIM_1",147795,146,5055206,"Stool","Malawi"
"9","26141_1#142",5341,"DASSIM7486819","DASSIM_1",179790,112,5068902,"Stool","Malawi"
"10","26141_1#143",5341,"DASSIM7486820","DASSIM_1",190526,111,5066938,"Stool","Malawi"
"11","26141_1#144",5341,"DASSIM7486821","DASSIM_1",186956,100,4770914,"Stool","Malawi"
"12","26141_1#145",5341,"DASSIM7486822","DASSIM_1",91797,176,4977961,"Stool","Malawi"
"13","26141_1#146",5341,"DASSIM7486823","DASSIM_1",132400,192,5131648,"Stool","Malawi"
"14","26141_1#147",5341,"DASSIM7486824","DASSIM_1",126233,165,5094873,"Stool","Malawi"
"15","26141_1#148",5341,"DASSIM7486825","DASSIM_1",96590,133,5159489,"Stool","Malawi"
"16","26141_1#149",5341,"DASSIM7486826","DASSIM_1",71986,145,4777478,"Stool","Malawi"
"17","26141_1#150",5341,"DASSIM7486828","DASSIM_1",212649,104,5186279,"Stool","Malawi"
"18","26141_1#151",5341,"DASSIM7486829","DASSIM_1",222532,93,5455644,"Stool","Malawi"
"19","26141_1#152",5341,"DASSIM7486830","DASSIM_1",241104,87,4901578,"Stool","Malawi"
"20","26141_1#153",5341,"DASSIM7486831","DASSIM_1",207364,81,5021380,"Stool","Malawi"
"21","26141_1#154",5341,"DASSIM7486832","DASSIM_1",183579,96,5234772,"Stool","Malawi"
"22","26141_1#155",5341,"DASSIM7486833","DASSIM_1",95953,155,5150019,"Stool","Malawi"
"23","26141_1#156",5341,"DASSIM7486834","DASSIM_1",227316,97,5420514,"Stool","Malawi"
